weight for each function; alfa, beta, shift for each function; Type function for each function; H(t);
1.30979,0.737404,0.298166,0.337875,0.620501,1.62368;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.0001 ,6.21258 ,2.16993,1.0001 ,10 ,23.8273,10 ,0.0534233 ,14.0692,6.68169 ,0.586395 ,49.5653;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0408532,0.0347817,0.0296116,0.0252098,0.0214621,0.0182715,0.0155552,0.0132427,0.0112739,0.00959787,0.00817097,0.00695619,0.0729669,0.00504184,0.00429205,0.00365394,0.0031107,0.00264823,0.00225451,0.00191933,0.00163397,0.031958,0.0288443,0.026037,0.023506,0.0212236,0.0191652,0.0173083,0.0156331,0.0141214,0.0831198,0.0115261,0.0104142,0.00941055,0.00850429,0.00768587,0.00694669,0.00627901,0.00567584,0.00513092,0.0900349,0.00419598,0.00379163,0.00342829,0.0030999,0.00280308,0.00253478,0.0284074,0.245648,0.444983,0.41451;
1.13873,0.772383,0.34379,0.343908,0.651684,1.31792;8.99599 ,0.0516675 ,35.2005,7.31127 ,0.0651238 ,38.792,1.09246 ,7.0761 ,2.22738,1.02646 ,9.88445 ,23.5184,10 ,0.050613 ,15.5054,6.10479 ,0.525304 ,47.8076;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0368812,0.0341401,0.0307731,0.0274377,0.0243183,0.0214724,0.0189102,0.016622,0.0145894,0.0127907,0.0112033,0.0098054,0.00857639,0.05025,0.00655096,0.00572161,0.00499548,0.00436011,0.00380447,0.00331878,0.00289443,0.0325578,0.0298468,0.0271737,0.0246715,0.0223666,0.0202585,0.0183379,0.0165924,0.0150083,0.0135724,0.0122716,0.011094,0.0521929,0.00906444,0.00819252,0.0674482,0.00669239,0.00604704,0.00546463,0.00493824,0.0044625,0.00403257,0.00364404,0.00329294,0.0725931,0.359685,0.423955,0.275006,0.128988,0.0497966;
1.30979,0.705457,0.350249,0.395476,0.708707,1.41116;8.3078 ,0.0568298 ,32.227,7.70222 ,0.0606086 ,38.343,1.0001 ,7.20865 ,2.4765,1.06769 ,9.59345 ,20.2048,10 ,0.0563302 ,14.0717,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0422879,0.0368129,0.0320458,0.0278957,0.0242829,0.0211379,0.0184002,0.0160171,0.0139425,0.0121367,0.0105647,0.00919634,0.126443,0.00696952,0.00606577,0.0052801,0.0045962,0.00400087,0.0365038,0.0342131,0.0315155,0.0288269,0.026267,0.0238773,0.0216697,0.0196433,0.0177907,0.0161019,0.0145655,0.01317,0.0822666,0.0107567,0.00971708,0.0087763,0.00792517,0.00715547,0.04774,0.00583109,0.00526262,0.00474938,0.00428585,0.00386729,0.00348937,0.00314821,0.00284026,0.00256232,0.00231148,0.00208512,0.00188086,0.00169656,0.0868112;
1.10522,0.737404,0.288162,0.329659,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.00003 ,9.68905 ,22.3117,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0370057,0.0318813,0.0274663,0.0236627,0.0203858,0.0175626,0.0151304,0.0130351,0.0112299,0.00967467,0.00833485,0.00718057,0.0779703,0.00532971,0.00459137,0.00395552,0.00340773,0.00293579,0.00252922,0.00217895,0.0325631,0.0292946,0.0263568,0.0237161,0.021342,0.0192075,0.017288,0.0155617,0.014009,0.0126123,0.0707284,0.0102253,0.00920769,0.00829209,0.00746804,0.00672631,0.00605861,0.00545752,0.00491633,0.00442904,0.0893866,0.00359743,0.00323927,0.00291877,0.00263009,0.00237006,0.00213582,0.00192481,0.0017347,0.00156343,0.08669;
1.30979,0.783836,0.352521,0.372052,0.704461,1.49023;8.3078 ,0.0568298 ,32.227,7.56031 ,0.0606211 ,37.9649,1.0001 ,6.21848 ,2.13551,1.06657 ,10 ,19.5049,10 ,0.053852 ,13.9281,6.17267 ,0.528316 ,8.48339;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0482622,0.0410958,0.0349926,0.0297954,0.0253699,0.0216017,0.0897478,0.403378,0.489043,0.328728,0.161309,0.148455,0.0266256,0.0118637,0.00671477,0.00475089,0.00378851,0.0330676,0.0310144,0.0286181,0.0262333,0.0239624,0.0218405,0.0198779,0.0180734,0.0164206,0.0149108,0.0135341,0.0122805,0.0111401,0.0804661,0.00916199,0.00830666,0.00753053,0.00682628,0.0469867,0.0056082,0.00508246,0.00460599,0.00417402,0.00378242,0.00342745,0.00310571,0.0028141,0.00254981,0.00231029,0.00209323,0.00189654,0.00171829,0.00155678,0.00141043;
1.30979,0.737404,0.325746,0.403493,0.689656,1.53015;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.0001 ,9.77832 ,21.4083,10 ,0.0523696 ,14.7127,5.77338 ,0.585792 ,49.3296;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0693956,0.0060247,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.0397095,0.0357499,0.0321883,0.0289845,0.0261024,0.0235094,0.0211761,0.0190762,0.0171861,0.0154847,0.013953,0.0829365,0.0113321,0.0102133,0.0092059,0.00829842,0.00748089,0.00674434,0.00608068,0.00548264,0.00494371,0.0898544,0.00402249,0.00362557,0.00326984,0.00294914,0.00266001,0.00239933,0.0764565,0.370501,0.464851,0.333227;
1.30979,0.736209,0.353566,0.406355,0.670003,1.28886;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.07502 ,6.6848 ,2.22126,1.0001 ,10 ,21.7948,10 ,0.0551925 ,12.9975,6.39465 ,0.532476 ,48.3894;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0410568,0.0372391,0.0330553,0.0290835,0.0254653,0.0222291,0.0193631,0.0168406,0.0146295,0.0126968,0.106244,0.00954396,0.00826682,0.0071579,0.00619535,0.00536045,0.0046367,0.00400962,0.00346655,0.0397586,0.0358556,0.0323392,0.0291709,0.0263162,0.0237436,0.0214249,0.0193348,0.0174505,0.0157515,0.0142193,0.0832001,0.0115912,0.0104665,0.0094519,0.0085364,0.00771019,0.0069645,0.0062914,0.00568376,0.00513516,0.0898978,0.00419484,0.0037886,0.00342378,0.00309426,0.00279661,0.0490026,0.301205,0.409345,0.295822,0.151471;
1.30979,0.773611,0.370672,0.390418,0.668845,1.47448;8.3078 ,0.0568298 ,32.227,7.666 ,0.0636829 ,39.3147,1.08613 ,7.06792 ,2.11832,1.00003 ,9.68905 ,22.3117,9.25227 ,0.053954 ,14.2316,6.41959 ,0.430118 ,49.1947;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0401932,0.0370367,0.033293,0.0296256,0.0262161,0.0231176,0.0203358,0.0178571,0.0156592,0.0137172,0.0120056,0.0105001,0.0555201,0.00801815,0.00700168,0.00611182,0.00533325,0.00465248,0.00405752,0.0035378,0.0394256,0.0354664,0.0319068,0.0287063,0.0258286,0.0232409,0.0209139,0.0188211,0.0169388,0.0152458,0.0840855,0.012353,0.0111202,0.0100112,0.00901328,0.00811531,0.00730721,0.0732474,0.00592638,0.00533616,0.00480579,0.00432835,0.00389852,0.00351154,0.00316311,0.00284938,0.00256687,0.13242,0.546651,0.481263,0.224582;
1.30979,0.737404,0.325746,0.335775,0.664362,1.41116;8.3078 ,0.0568298 ,32.227,7.69764 ,0.0659523 ,42.1847,1.00002 ,6.70833 ,2.22905,1.02353 ,9.90931 ,23.7193,10 ,0.0534233 ,14.0692,6.00669 ,0.521549 ,52.0027;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0418322,0.0360395,0.0310487,0.0267489,0.0230446,0.0198533,0.0171038,0.0147352,0.0126945,0.0109365,0.00942193,0.00811711,0.0787771,0.00602481,0.00519021,0.00447143,0.00385218,0.0033187,0.0028591,0.00246314,0.00212203,0.0312346,0.0285958,0.0260182,0.0236144,0.0214048,0.0193867,0.0175497,0.0158811,0.0143676,0.0833585,0.0117537,0.0106288,0.00961094,0.00869007,0.0078571,0.00710374,0.00642246,0.00580642,0.00524942,0.0901422,0.0042928,0.00387887,0.00350673,0.00317031,0.00286617,0.00259123,0.00234267,0.00211797,0.00191483,0.0870121;
1.32942,0.745705,0.308212,0.358711,0.668845,1.46591;8.27925 ,0.0533402 ,29.5581,7.57139 ,0.0578138 ,40.2476,1.13424 ,6.51917 ,2.36023,1.00003 ,9.68905 ,22.3117,9.25227 ,0.053954 ,14.2316,5.56214 ,0.570909 ,8;Gamma,Gamma,Gamma,Gamma,Gamma,Gamma;0,0,0.0336006,0.0316328,0.0286521,0.0255453,0.0225788,0.0198478,0.116672,0.422129,0.462167,0.300888,0.148955,0.0640649,0.0732808,0.012713,0.00748299,0.00539932,0.00436136,0.0036861,0.00316302,0.00272643,0.0357429,0.0321469,0.0289156,0.0260115,0.0234013,0.021055,0.0189457,0.054341,0.0153439,0.0138103,0.012431,0.0111904,0.0100743,0.00907031,0.00816694,0.00735406,0.00662254,0.00596417,0.0305546,0.00483827,0.00435801,0.00392571,0.00353648,0.00318602,0.00287042,0.00258622,0.00233026,0.00209972,0.00189208,0.00170504,0.00153654;
